request_id,job_id,finish_reason,e2e_latency,num_prompt_tokens,num_generation_tokens,num_cached_tokens,prefix_cache_hit_rate,queued_time,prefill_time,inference_time,decode_time,max_tokens_param
chatcmpl-ef7a92d9f6da4a5eb3b1e54b01f51e5a,10,stop,54.30618143081665,1001,64,944,0.9430569430569431,3.27499583363533e-05,0.1217254321090877,54.29899837193079,54.177272939821705,10000
chatcmpl-465828b643364435982bafc00efecaa0,10,stop,59.79046058654785,1000,65,944,0.944,0.00014958507381379604,0.1217254321090877,59.7741280219052,59.65240258979611,10000
chatcmpl-71275f9fa1744b05ac7661ef6c3a78f6,8,stop,88.52501225471497,1001,228,944,0.9430569430569431,3.743707202374935e-05,0.6635384759865701,88.52036069892347,87.8568222229369,10000
chatcmpl-72c61e4a65a941eab0f4381774bda4b8,4,stop,80.50599956512451,1455,149,96,0.06597938144329897,26.885998919140548,5.147249647881836,50.38417220884003,45.23692256095819,8192
chatcmpl-04739ac590184963b53a2d1020835355,5,stop,89.4083309173584,1207,185,96,0.07953603976801989,63.90788834891282,5.166000456083566,20.827733458019793,15.661733001936227,8192
chatcmpl-f778448bb13c4a19bf7ca9d1d572ee7c,6,stop,91.03349685668945,2281,217,96,0.04208680403331872,0.052675890969112515,10.326750875916332,90.97293387702666,80.64618300111033,8192
chatcmpl-6c692749715f4c1ea93f1a594a7b215b,3,stop,90.00737690925598,6846,256,96,0.014022787028921999,5.193622963037342,10.653769240016118,82.85875985608436,72.20499061606824,8192
chatcmpl-f0f8c9c70e084d819c96d2238e24c9dc,2,stop,113.16306710243225,1524,508,1312,0.8608923884514436,3.865594044327736e-05,0.16522368299774826,113.1397676798515,112.97454399685375,10000
chatcmpl-ea99b68d14f741cc8d6c5f3f38f6a333,6,stop,104.38459253311157,2859,283,96,0.033578174186778595,37.22742719692178,5.1179442189168185,62.08382650301792,56.9658822841011,8192
chatcmpl-394ebd2870d94915afd85e3f37b6bec8,4,stop,99.79351234436035,5001,286,96,0.01919616076784643,26.885956848971546,5.147249647881836,69.67214983096346,64.52490018308163,8192
chatcmpl-f262004764314c5b83518c6363865f7d,4,stop,110.30449867248535,4128,292,96,0.023255813953488372,26.885908588999882,10.26530791586265,80.18329854100011,69.91799062513746,8192
chatcmpl-c14d658d12744d6c9a14860fc19143f9,3,stop,118.23714447021484,1639,312,96,0.05857230018303844,10.685232016025111,5.162118925945833,105.5991429539863,100.43702402804047,8192
chatcmpl-b975070ecf8441ef9a9f1a27aacdfbad,5,stop,121.52779865264893,3524,307,96,0.02724177071509648,58.49570696312003,10.578233259962872,58.35782280494459,47.77958954498172,8192
chatcmpl-276722d49a8c45e4b00de6cb48a2b2c4,2,stop,21.23403024673462,1030,57,944,0.916504854368932,0.00014050211757421494,2.378397492924705,21.212235820945352,18.833838328020647,10000
chatcmpl-0396b32d7fea4395a0272dc59628deaf,2,stop,21.294799089431763,1026,58,944,0.9200779727095516,8.99310689419508e-05,2.378397492924705,21.27399222389795,18.895594730973244,10000
chatcmpl-9c8afee82eba41ddbcdd4d800f3b3a70,7,stop,123.62614035606384,3665,355,96,0.026193724420190995,10.685455603059381,10.268176340032369,110.48397726402618,100.21580092399381,8192
chatcmpl-fd68a7716b274313b3ccfb6daf5e835e,2,stop,25.24173903465271,1031,70,944,0.915615906886518,3.7315068766474724e-05,2.378397492924705,25.22157685086131,22.843179357936606,10000
chatcmpl-fbd929d784d44803af38024fd9c4157a,6,stop,129.96190547943115,6942,365,16,0.0023048112935753384,0.052744324086233974,5.132866838015616,129.8992440579459,124.76637721993029,8192
chatcmpl-ebb9f1929ecc4dcbbc21e85b86cf16e9,7,stop,131.2183816432953,15119,361,96,0.006349626298035585,15.847676150966436,16.231770528946072,112.9481739110779,96.71640338213183,8192
chatcmpl-addf5af6c1674783b7797b5d298af55f,4,stop,135.59597253799438,4550,364,96,0.0210989010989011,21.512157738907263,5.373833670979366,110.84502733196132,105.47119366098195,8192
chatcmpl-26c9878128b1451f9cb23350c2e40fd6,2,stop,38.88227963447571,1050,90,0,0.0,0.0002137981355190277,2.378397492924705,38.85032480186783,36.47192730894312,10000
chatcmpl-2fe1829f79e24b83844530696af7117a,9,stop,142.45913791656494,11390,386,96,0.008428446005267778,47.62037247279659,16.28686387022026,91.50090696103871,75.21404309081845,8192
chatcmpl-f5e841ee9b9341b5a576afb4fcfad15b,9,stop,142.62487626075745,4034,391,96,0.023797719385225583,47.620418448001146,5.47504252102226,91.66504890611395,86.19000638509169,8192
chatcmpl-427b2c1b0b1a4439bdce52a8d7723281,6,stop,147.2500340938568,3253,446,96,0.02951122041192745,37.22736459504813,10.393219057936221,104.95331226708367,94.56009320914745,8192
chatcmpl-5a660e52e5e549288a69e39cec17e83e,5,stop,148.17595195770264,2083,454,96,0.046087373979836775,58.49575653113425,5.411718219053,85.0036701229401,79.5919519038871,8192
chatcmpl-c4ad24d3aea54e9ca78e2f68e3fc12e1,3,stop,171.59097361564636,12474,486,96,0.007696007696007696,0.00019725412130355835,10.685032926965505,169.63495919387788,158.94992626691237,8192
chatcmpl-11a22954f6254cd7b79da6bfa40116cf,6,stop,52.0735867023468,1851,128,944,0.5099945975148569,0.0001035681925714016,0.7655921049881727,48.8590620898176,48.093469984829426,10000
chatcmpl-d6c5e233eaeb48f3a4e7c010b9906cd6,7,stop,179.89895963668823,2746,497,96,0.03495994173343044,15.847719981102273,5.10586679703556,161.62673451402225,156.5208677169867,8192
chatcmpl-d911d6fdf94f4233bedfdae8e515e962,10,stop,166.19326329231262,17848,248,96,0.005378753922008068,42.95379358693026,33.76922072516754,119.16946747107431,85.40024674590677,8192
chatcmpl-2399c02c2f9b442695e3f28b14d1a45a,10,stop,131.60576725006104,2754,246,96,0.034858387799564274,43.25675251497887,5.1725622930098325,84.09096975298598,78.91840745997615,8192
chatcmpl-cfd568be23594fb59fb5baf5eb3772c7,9,stop,189.31532764434814,10930,552,96,0.00878316559926807,42.34522069897503,10.75028584501706,143.62839754414745,132.8781116991304,8192
chatcmpl-775109af236b4383a2566788623b42c9,2,stop,42.62857627868652,1981,91,96,0.04846037354871277,5.277377103921026,5.4082043680828065,37.30491391103715,31.89670954295434,8192
chatcmpl-19c370b1e09046328ed400e0a9128856,10,stop,170.867830991745,3174,288,96,0.030245746691871456,42.953850517980754,5.166000456083566,123.84243485005572,118.67643439397216,8192
chatcmpl-8266b35bc24e4f8b91caaf25c327721a,5,stop,44.352930307388306,2130,109,944,0.4431924882629108,3.9032893255352974e-05,0.8796906331554055,44.34555188915692,43.46586125600152,10000
chatcmpl-5fb7d20265374f908193715ed525b667,10,stop,171.42761707305908,3567,279,96,0.02691337258200168,80.79787351703271,5.1725622930098325,86.56286980491132,81.39030751190148,8192
